date,menu_item,quantity_sold,price_per_unit,total_sales
2025-03-20,Tacos,92,5.1,469.2
2025-03-20,Sushi,97,8.58,832.26
2025-03-21,Fries,35,13.63,477.05
2025-03-21,Ice Cream,50,14.2,710.0
2025-03-21,Pasta,75,7.78,583.5
2025-03-21,Sushi,79,8.68,685.72
2025-03-21,Pizza,14,12.04,168.56
2025-03-21,Veg Wrap,34,6.43,218.62
2025-03-21,Burger,16,13.39,214.24
2025-03-21,Tacos,52,6.28,326.56
2025-03-21,Burrito,57,8.24,469.68
2025-03-21,Soup,61,11.92,727.12
2025-03-22,Fried Chicken,20,11.72,234.4
2025-03-22,Pasta,20,8.17,163.4
2025-03-22,Fries,33,9.55,315.15000000000003
2025-03-22,Steak,51,4.23,215.73000000000002
2025-03-22,Sushi,51,10.93,557.43
2025-03-22,Veg Wrap,49,8.35,409.15
2025-03-22,Soup,64,5.0,320.0
2025-03-22,Tacos,66,7.22,476.52
2025-03-23,Steak,45,10.67,480.15
2025-03-23,Burrito,17,3.9,66.3
2025-03-23,Fried Chicken,91,7.87,716.17
2025-03-23,Smoothie,75,12.61,945.75
2025-03-23,Grilled Sandwich,96,4.92,472.32
2025-03-24,Pasta,14,4.51,63.14
2025-03-24,Burrito,40,12.34,493.6
2025-03-24,Smoothie,56,7.35,411.59999999999997
2025-03-24,Ice Cream,82,3.39,277.98
2025-03-24,Fries,29,11.15,323.35
2025-03-25,Fried Chicken,56,7.78,435.68
2025-03-25,Fries,93,6.34,589.62
2025-03-25,Sushi,24,3.31,79.44
2025-03-25,Pizza,33,8.99,296.67
2025-03-25,Smoothie,59,13.96,823.6400000000001
2025-03-25,Pasta,25,6.14,153.5
2025-03-25,Soup,43,11.45,492.34999999999997
2025-03-26,Smoothie,27,13.23,357.21000000000004
2025-03-26,Tacos,67,5.07,339.69
2025-03-26,Steak,66,14.97,988.0200000000001
2025-03-26,Fries,97,14.61,1417.1699999999998
2025-03-26,Salad,50,11.01,550.5
2025-03-26,Pizza,100,3.78,378.0
2025-03-27,Tacos,35,12.5,437.5
2025-03-27,Veg Wrap,40,12.48,499.20000000000005
2025-03-27,Pasta,13,7.33,95.29
2025-03-27,Steak,83,7.43,616.6899999999999
2025-03-27,Ice Cream,80,4.56,364.79999999999995
2025-03-27,Sushi,21,3.79,79.59
2025-03-27,Fried Chicken,60,15.0,900.0
2025-03-27,Salad,71,9.31,661.01
2025-03-27,Burger,62,12.88,798.5600000000001
2025-03-28,Pasta,69,11.16,770.04
2025-03-28,Fried Chicken,54,4.54,245.16
2025-03-28,Ice Cream,80,10.68,854.4
2025-03-28,Pizza,33,12.21,402.93
2025-03-28,Fries,26,8.19,212.94
2025-03-29,Burrito,31,4.94,153.14000000000001
2025-03-29,Pizza,100,5.71,571.0
2025-03-29,Soup,76,13.74,1044.24
2025-03-29,Pasta,20,6.01,120.19999999999999
2025-03-29,Tacos,91,14.48,1317.68
2025-03-30,Pasta,92,5.02,461.84
2025-03-30,Ice Cream,84,4.85,407.4
2025-03-30,Tacos,94,10.49,986.0600000000001
2025-03-30,Smoothie,87,7.05,613.35
2025-03-30,Soup,82,3.49,286.18
2025-03-30,Pizza,13,3.97,51.61
2025-03-30,Burrito,92,12.25,1127.0
2025-03-31,Ice Cream,73,13.67,997.91
2025-03-31,Salad,79,6.48,511.92
2025-03-31,Sushi,48,8.8,422.40000000000003
2025-03-31,Smoothie,97,7.87,763.39
2025-03-31,Grilled Sandwich,68,3.88,263.84
2025-03-31,Steak,17,4.9,83.30000000000001
2025-03-31,Burger,63,8.81,555.0300000000001
